experiment,learning_rate,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error
H1a-noise,0.05,41044,19.370607606,1.517995709,20,0.572512138
H1a-noise,0.2,41044,6.200033294,1.280336387,7,0.022518174
H1a-noise,0.5,41044,1.859971514,0.783782511,2,0.005861491
H1a-noise,0.8,41044,1.282007796,0.272909175,0,0.011300723
H1a-noise,0.05,41045,19.155196217,1.5364032,20,0.548112917
H1a-noise,0.2,41045,5.92498025,1.332159666,7,0.014713531
H1a-noise,0.5,41045,2.563672777,0.88825069,2,0.099249671
H1a-noise,0.8,41045,2.079844159,0.444983332,1,0.183853645
H1a-noise,0.05,41046,19.316320093,1.516803497,20,0.553336625
H1a-noise,0.2,41046,5.896806456,1.25159802,6,0.022685474
H1a-noise,0.5,41046,1.945019655,0.744456622,2,0.060273033
H1a-noise,0.8,41046,1.39808025,0.270667589,0,0.081910431
H1a-noise,0.05,41047,19.789114674,1.528414957,20,0.563579007
H1a-noise,0.2,41047,6.725180915,1.279701214,7,0.042343714
H1a-noise,0.5,41047,2.727485168,0.743957952,2,0.081094483
H1a-noise,0.8,41047,1.921900559,0.225974452,0,0.089544692
H1a-noise,0.05,41048,19.70922405,1.513371043,20,0.602997971
H1a-noise,0.2,41048,6.94934587,1.283715581,7,0.091999171
H1a-noise,0.5,41048,2.54073658,0.858027504,3,0.12226815
H1a-noise,0.8,41048,1.547799467,0.436748406,1,0.172155669
H1a-noise,0.05,41049,19.617903637,1.523753068,20,0.577132884
H1a-noise,0.2,41049,6.397134808,1.272639481,7,0.018607417
H1a-noise,0.5,41049,2.148408611,0.782633404,2,0.009501771
H1a-noise,0.8,41049,1.399201679,0.337264293,1,0.00284596
H1a-noise,0.05,41050,19.803650145,1.539086271,20,0.580464805
H1a-noise,0.2,41050,6.675927597,1.331074535,8,0.007550272
H1a-noise,0.5,41050,2.452507248,0.883432308,2,0.040149791
H1a-noise,0.8,41050,1.59467322,0.413497308,1,0.054107801
H1a-noise,0.05,41051,19.706388863,1.517375992,20,0.599005704
H1a-noise,0.2,41051,6.737942393,1.25612286,8,0.070662326
H1a-noise,0.5,41051,2.301354727,0.753851985,2,0.077042924
H1a-noise,0.8,41051,1.5289895,0.279110426,0,0.077238372
H1a-noise,0.05,41052,19.815780231,1.52410768,20,0.585216455
