mechanism,severity,signed_parameter,mechanism_direction,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error,observed_fraction_full_sequence,observed_fraction_evaluation_window
missingness,0.5,0.5,not_directional,52034,6.633748725,1.629523223,6,0.064448889,0.4,0.35
missingness,0.0,0.0,not_directional,52035,2.160057381,0.790865751,2,0.027584677,1.0,1.0
missingness,0.1,0.1,not_directional,52035,2.162103215,0.790668008,2,0.02758995,0.933333333,0.95
missingness,0.3,0.3,not_directional,52035,2.35146033,0.847674865,2,0.000133752,0.7,0.75
missingness,0.5,0.5,not_directional,52035,3.515331236,0.823953858,4,0.000312789,0.5,0.55
missingness,0.0,0.0,not_directional,52036,2.351363092,0.852601227,2,0.019557804,1.0,1.0
missingness,0.1,0.1,not_directional,52036,2.321139048,0.852677287,2,0.002018663,0.933333333,0.95
missingness,0.3,0.3,not_directional,52036,2.156987125,0.851587995,2,0.002250699,0.666666667,0.65
missingness,0.5,0.5,not_directional,52036,2.798675721,0.851587995,3,0.008478425,0.466666667,0.35
missingness,0.0,0.0,not_directional,52037,2.367981516,0.731833333,2,0.035670243,1.0,1.0
missingness,0.1,0.1,not_directional,52037,2.370535623,0.731833333,2,0.05964662,0.966666667,0.95
missingness,0.3,0.3,not_directional,52037,3.248411036,0.808586759,3,0.060294707,0.633333333,0.7
missingness,0.5,0.5,not_directional,52037,3.806554894,0.808586759,3,0.055224792,0.466666667,0.45
missingness,0.0,0.0,not_directional,52038,2.692802769,0.769708165,2,0.062987907,1.0,1.0
missingness,0.1,0.1,not_directional,52038,4.149372454,1.500842727,3,0.062986513,0.933333333,0.95
missingness,0.3,0.3,not_directional,52038,5.881114062,1.507512136,5,0.062515243,0.733333333,0.7
missingness,0.5,0.5,not_directional,52038,8.252056524,1.505874995,8,0.036939631,0.4,0.35
missingness,0.0,0.0,not_directional,52039,2.218547592,0.744348886,2,0.097575985,1.0,1.0
missingness,0.1,0.1,not_directional,52039,2.31261229,0.744348886,2,0.097608183,0.966666667,0.95
missingness,0.3,0.3,not_directional,52039,2.240013222,0.745444733,2,0.099177224,0.733333333,0.75
missingness,0.5,0.5,not_directional,52039,2.372675423,0.758768894,2,0.105098457,0.566666667,0.65
missingness,0.0,0.0,not_directional,52040,2.539420287,0.880398771,2,0.002285199,1.0,1.0
missingness,0.1,0.1,not_directional,52040,2.709329465,0.88048646,2,0.008362071,0.833333333,0.8
missingness,0.3,0.3,not_directional,52040,4.36837123,0.876563302,6,0.041247377,0.566666667,0.5
missingness,0.5,0.5,not_directional,52040,9.339045795,1.539044188,11,0.04949945,0.433333333,0.35
missingness,0.0,0.0,not_directional,52041,2.573681014,0.834649521,3,0.013231841,1.0,1.0
missingness,0.1,0.1,not_directional,52041,2.669061128,0.848756273,3,0.007566433,0.833333333,0.85
missingness,0.3,0.3,not_directional,52041,4.132605545,0.804918698,4,0.003676613,0.6,0.55
